제품명,언니_ACCS,내꺼_통합전,내꺼_통합후,상태_통합후,매칭_통합후,개선폭(통합후-통합전),언니와_차이(통합후)
SQ06FA1WDS,14.98,49.84,56.2,OK,SQ06FA1WDS,6.36,-41.22
T875MEE011,50.52,49.84,50.48,OK,T875MEE011,0.64,0.04
망고슬래브 네모닉 AI,37.87,0.0,0.0,OK,ZH10040-19001B,0.0,37.87
Q27G4SL,39.71,0.0,0.0,OK,Q27G4SL,0.0,39.71
CU34G4,39.71,0.0,0.0,OK,CU34G4,0.0,39.71
25B36X,39.71,0.0,0.0,OK,25B36X,0.0,39.71
279QA9200,38.31,0.0,0.0,OK,FAST-IPS,0.0,38.31
V27Q15C,39.06,0.0,0.0,OK,V27Q15C,0.0,39.06
RK70F58M1ZG,43.98,0.0,32.9,OK,RK70F58M1ZG,32.9,11.08
24E40L,39.71,0.0,0.0,OK,24E40L,0.0,39.71
V27Q65C,39.06,0.0,0.0,OK,V27Q65C,0.0,39.06
G880,42.55,,,캐시 없음,,,
ALPS-CAN AOC27E40L,39.71,0.0,0.0,OK,27E40L,0.0,39.71
27QD200M,41.34,0.0,0.0,OK,27QD200M,0.0,41.34
AG326UZD,39.71,0.0,0.0,OK,AG326UZD,0.0,39.71
245G366,37.87,0.0,0.0,OK,FAST-IPS,0.0,37.87
Q27G40ZDF,39.71,0.0,0.0,OK,Q27G40ZDF,0.0,39.71
AOC27B36X,39.71,0.0,0.0,OK,27B36X,0.0,39.71
G820,41.31,56.65,51.83,OK,DV21DG8200BW,-4.82,-10.52
27QD166CM,37.87,0.0,0.0,OK,27QD166CM,0.0,37.87
AGP327UZD,39.71,0.0,0.0,OK,AGP327UZD,0.0,39.71
Q27G40E,39.71,0.0,0.0,OK,Q27G40E,0.0,39.71
27QD166CM,37.87,0.0,0.0,OK,27QD166CM,0.0,37.87
27LGQ175CM,37.87,0.0,0.0,OK,27LGQ175CM,0.0,37.87
27QNA955,37.87,0.0,0.0,OK,27QNA955,0.0,37.87
Q27G4S,39.71,0.0,0.0,OK,Q27G4S,0.0,39.71
G8800,40.42,,,캐시 없음,,,
VS28D950ACB,47.94,54.84,47.71,OK,VS28D950ACB,-7.13,0.23
WD90H25BHY,53.89,49.39,54.9,OK,WD90H25BHY,5.51,-1.01
VR90F01AAH,53.73,50.03,53.34,OK,VR90F01AAH,3.31,0.39
AR60F07D12WS,52.1,51.79,51.35,OK,AR60F07D12WS,-0.44,0.75
AS356NSMA,51.85,47.91,56.38,OK,AS356NSMA,8.47,-4.53
CC80H63E1HS,45.55,0.0,45.16,OK,CC80H63E1HS,45.16,0.39
F21WDSPR,52.46,46.85,52.07,OK,F21WDSPR,5.22,0.39
DW80H73Y1UZ,42.55,0.0,0.0,OK,DW80H73Y1UZ,0.0,42.55
QNED65ABA,53.67,71.91,59.11,OK,75QNED65ABA,-12.8,-5.44
뉴스룸,33.69,,,모호함(3개 서로 다른 제품 후보),15-FC1061AU / KSJ-SEB170 / CRH-TWS0610W,,
RS84DB5002CW,51.43,49.84,50.66,OK,RS84DB5002CW,0.82,0.77
VR80F01ADG,51.76,47.92,51.38,OK,VR80F01ADG,3.46,0.38
M876GBB232,50.52,49.84,50.48,OK,M876GBB232,0.64,0.04
RM70F90R2ZD,51.43,49.84,50.66,OK,RM70F90R2ZD,0.82,0.77
WD90H25AHS,53.89,49.39,54.9,OK,WD90H25AHS,5.51,-1.01
75QNED65ABA,53.67,71.91,59.11,OK,75QNED65ABA,-12.8,-5.44
M876GBB131,50.52,49.84,50.48,OK,M876GBB131,0.64,0.04
QNED65ABA,53.67,71.91,59.11,OK,75QNED65ABA,-12.8,-5.44
FH25WA,54.33,49.39,53.74,OK,FH25WA,4.35,0.59
