domain,product_type,product_name,label,certainty,url,specs_text,matched_patterns
danawa,HDD,"Seagate SkyHawk AI 7200/512M (12TB, ST12000VE003)",washing,high,https://prod.danawa.com/info/?pcode=94811081,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2024년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 12TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 512MB 전송 속도 285MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 5년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL027 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/256M/해외구매 (8TB, ST8000VE001)",washing,high,https://prod.danawa.com/info/?pcode=94880960,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2022년 06월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 8TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 256MB 전송 속도 255MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 RV센서 ○ S.M.A.R.T 지원 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 200만시간 KC인증 적합성평가인증 상세설명 / 판매 사이트 문의 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/256M (10TB, ST10000VE0008)",washing,high,https://prod.danawa.com/info/?pcode=9346392,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2019년 09월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 10TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 256MB 전송 속도 250MB/s 기록방식 CMR(PMR) 디스크 수 플래터 8장 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ S.M.A.R.T 지원 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 150만시간 소음(유휴/탐색) 20/28dB A/S 정보 3년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-REM-STX-STL006 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/512M (32TB, ST32000VE000)",washing,high,https://prod.danawa.com/info/?pcode=103811207,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate (제조사 웹사이트 바로가기) 등록년월 2024년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 32TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 512MB 전송 속도 285MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 5년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL026 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/512M (24TB, ST24000VE002)",washing,high,https://prod.danawa.com/info/?pcode=36793505,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate (제조사 웹사이트 바로가기) 등록년월 2024년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 24TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 512MB 전송 속도 285MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 5년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL027 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/512M (20TB, ST20000VE003)",washing,high,https://prod.danawa.com/info/?pcode=95928110,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2024년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 20TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 512MB 전송 속도 285MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 5년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL027 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/512M (16TB, ST16000VE004)",washing,high,https://prod.danawa.com/info/?pcode=94810856,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2024년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 16TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 512MB 전송 속도 285MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 데이터 복구 3년 ○ KC인증 적합성평가인증 상세설명 / 판매 사이트 문의 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/256M (10TB, ST10000VE001)",washing,high,https://prod.danawa.com/info/?pcode=15965906,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2021년 12월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 10TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 256MB 전송 속도 263MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 RV센서 ○ S.M.A.R.T 지원 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 200만시간 소음(유휴/탐색) 30/34dB A/S 정보 5년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL018 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/256M (18TB, ST18000VE002)",washing,high,https://prod.danawa.com/info/?pcode=12639086,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2020년 02월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 18TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 256MB 전송 속도 270MB/s 기록방식 CMR(PMR) 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ S.M.A.R.T 지원 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 250만시간 A/S 정보 3년 ○ 데이터 복구 3년 ○ KC인증 적합성평가인증 R-R-STX-STL020 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
danawa,HDD,"Seagate SkyHawk AI 7200/256M (14TB, ST14000VE0008)",washing,high,https://prod.danawa.com/info/?pcode=9346551,"상품 상세 스펙 상품 상세 정보 제공 제조회사 Seagate 등록년월 2019년 08월 제품 분류 HDD (CCTV용) 디스크 크기 8.9cm(3.5인치) 디스크 용량 14TB 인터페이스 SATA3 (6Gb/s) 회전수 7,200RPM 버퍼 용량 메모리 256MB 전송 속도 250MB/s 기록방식 CMR(PMR) 디스크 수 플래터 8장 두께 26.1mm 부가기능 헬륨충전 ○ RV센서 ○ S.M.A.R.T 지원 ○ 내구성/소음 작업부하량 550 TB/Y 사용보증 150만시간 소음(유휴/탐색) 20/28dB A/S 정보 3년 ○ KC인증 적합성평가인증 R-REM-STX-STL006 인증번호 확인 안전확인인증 상세설명 / 판매 사이트 문의 인증번호 확인",strict-negative: AI-workload-only; storage performs no AI inference; claim=ai
